antigen_target	antigen_class	feature	assay_family	minimum	minimum_positive	recommended_pseudocount	transform_recommendation	authoritative_phase1F_scale	phase1F_note
HPV33	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	10.3	10.3	5.15	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	0.2999999999999971	0.2999999999999971	0.1499999999999985	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	470.0	470.0	235.0	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	52.0	52.0	26.0	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	22.3	22.3	11.15	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	0.2000000000000028	0.2000000000000028	0.1000000000000014	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV45	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	187.8	187.8	93.9	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	0.5	0.5	0.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	63.3	63.3	31.65	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	7.3	7.3	3.65	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	0.2999999999999971	0.2999999999999971	0.1499999999999985	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV52	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	157.8	157.8	78.9	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	31.0	31.0	15.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	64.0	64.0	32.0	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	10.3	10.3	5.15	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	0.5	0.5	0.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	0.2000000000000028	0.2000000000000028	0.1000000000000014	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV58	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	370.5	370.5	185.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
